GENE_SYMBOL,GENE ID (HGNC),DISEASE_LABEL,DISEASE ID (MONDO),MOI,SOP,CLASSIFICATION,ONLINE REPORT,CLASSIFICATION DATE,GCEP
MFN2,HGNC:16877,axonal hereditary motor and sensory neuropathy,MONDO:0018775,SD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a04350b3-5fe9-438a-9e90-db0055ed15e7-2022-10-10T160000.000Z,2022-10-10T16:00:00.000Z,Charcot-Marie-Tooth
MME,HGNC:7154,Charcot-Marie-Tooth disease axonal type 2T,MONDO:0014866,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6d426d95-70b5-4537-809f-9f2520fc39e9-2022-08-03T160000.000Z,2022-08-03T16:00:00.000Z,Charcot-Marie-Tooth
MPZ,HGNC:7225,Charcot-Marie-Tooth disease,MONDO:0015626,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_11f638d2-d8d2-4fe4-ab79-acff5cf32a18-2020-08-25T160000.000Z,2020-08-25T16:00:00.000Z,Charcot-Marie-Tooth
MTMR2,HGNC:7450,demyelinating hereditary motor and sensory neuropathy,MONDO:0018776,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_44a837e2-ae06-4e4d-b7cf-ae2a3009b47d-2020-02-11T170000.000Z,2020-02-11T17:00:00.000Z,Charcot-Marie-Tooth
NEFH,HGNC:7737,Charcot-Marie-Tooth disease axonal type 2CC,MONDO:0014836,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8e1390ea-fd6c-4fa4-9b43-0eccff9e2829-2020-10-05T161645.817Z,2020-10-05T16:16:45.817Z,Charcot-Marie-Tooth
NEFL,HGNC:7739,Charcot-Marie-Tooth disease type 2,MONDO:0018993,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_49d4cf82-b365-456e-9e35-2b28a66b71ec-2023-01-10T170000.000Z,2023-01-10T17:00:00.000Z,Charcot-Marie-Tooth
NEFL,HGNC:7739,Charcot-Marie-Tooth disease,MONDO:0015626,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_57ec533a-b1cb-4d1d-b12a-61ee6ac6ab07-2023-01-10T170000.000Z,2023-01-10T17:00:00.000Z,Charcot-Marie-Tooth
NTRK1,HGNC:8031,hereditary sensory and autonomic neuropathy type 4,MONDO:0009746,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e716345f-08da-4a06-b3e1-d07974a4305d-2021-11-17T030955.951Z,2021-11-17T03:09:55.951Z,Charcot-Marie-Tooth
PMP2,HGNC:9117,Charcot-Marie-Tooth disease,MONDO:0015626,AD,SOP8,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_aa4c5730-f807-45d7-afe7-573a3960916f-2021-03-22T201734.319Z,2021-03-22T20:17:34.319Z,Charcot-Marie-Tooth
PMP22,HGNC:9118,Charcot-Marie-Tooth disease type 1A,MONDO:0007309,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_169edbc0-b942-43f1-885d-8d47ccdb6d90-2022-10-10T160000.000Z,2022-10-10T16:00:00.000Z,Charcot-Marie-Tooth
PRX,HGNC:13797,Charcot-Marie-Tooth disease type 4,MONDO:0018995,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_471d2fcc-f9d4-49d7-92b9-d16f5f751d83-2023-01-10T170000.000Z,2023-01-10T17:00:00.000Z,Charcot-Marie-Tooth
RAB7A,HGNC:9788,Charcot-Marie-Tooth disease type 2,MONDO:0018993,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_222dbfa6-db75-42a0-bab6-338b46a316c3-2022-02-10T021034.172Z,2022-02-10T02:10:34.172Z,Charcot-Marie-Tooth
SBF1,HGNC:10542,Charcot-Marie-Tooth disease type 4B3,MONDO:0014117,AR,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c0f814d9-02db-4c0c-8e1c-20a7759d993f-2021-11-20T022238.296Z,2021-11-20T02:22:38.296Z,Charcot-Marie-Tooth
SBF2,HGNC:2135,Charcot-Marie-Tooth disease type 4B2,MONDO:0011475,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_01893bf4-e95d-4206-9d2e-e3822f778b7a-2021-03-22T201309.257Z,2021-03-22T20:13:09.257Z,Charcot-Marie-Tooth
SCN11A,HGNC:10583,autosomal dominant hereditary sensory and autonomic neuropathy,MONDO:0015365,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_abe8c0db-503c-46fa-a2a6-e4d6071219d0-2022-02-25T020007.355Z,2022-02-25T02:00:07.355Z,Charcot-Marie-Tooth
SETX,HGNC:445,distal hereditary motor neuropathy,MONDO:0018894,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1f355b8f-1cd9-401c-8f34-b9b3e2fe939b-2022-08-03T160000.000Z,2022-08-03T16:00:00.000Z,Charcot-Marie-Tooth
SH3TC2,HGNC:29427,autosomal recessive hereditary demyelinating motor and sensory neuropathy,MONDO:0015361,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8d2b214f-3086-4012-bf4b-a6e651618f0b-2022-02-10T020711.223Z,2022-02-10T02:07:11.223Z,Charcot-Marie-Tooth
SLC25A46,HGNC:25198,"neuropathy, hereditary motor and sensory, type 6B",MONDO:0014671,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9852fb40-0df1-4668-ba57-38a4971cb244-2020-05-26T160000.000Z,2020-05-26T16:00:00.000Z,Charcot-Marie-Tooth
SLC5A7,HGNC:14025,"neuronopathy, distal hereditary motor, type 7A",MONDO:0008024,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c6e46608-98f5-4e4d-9bcf-22e42997af6e-2021-11-20T022003.630Z,2021-11-20T02:20:03.630Z,Charcot-Marie-Tooth
SPTLC2,HGNC:11278,"neuropathy, hereditary sensory and autonomic, type 1C",MONDO:0013337,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2294e1cf-3aad-471e-a360-9f6f8c3b4d8f-2023-01-10T170000.000Z,2023-01-10T17:00:00.000Z,Charcot-Marie-Tooth
TRPV4,HGNC:18083,neuromuscular disease,MONDO:0019056,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b89b03c3-24c7-4424-989c-abd65eb2b7ec-2021-12-14T145310.482Z,2021-12-14T14:53:10.482Z,Charcot-Marie-Tooth
WARS1,HGNC:12729,distal hereditary motor neuropathy,MONDO:0018894,AD,SOP8,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_93643521-0988-4c4b-b458-988044cfad6f-2022-02-10T020458.490Z,2022-02-10T02:04:58.490Z,Charcot-Marie-Tooth
YARS1,HGNC:12840,Charcot-Marie-Tooth disease,MONDO:0015626,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9c326f90-be08-4bb3-9593-b2df48f29ca1-2020-04-28T160000.000Z,2020-04-28T16:00:00.000Z,Charcot-Marie-Tooth
ALX1,HGNC:1494,frontonasal dysplasia - severe microphthalmia - severe facial clefting syndrome,MONDO:0013271,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ade0e1d8-3f68-4276-bc1d-173ca2d4936f-2022-10-13T160000.000Z,2022-10-13T16:00:00.000Z,Craniofacial Malformations
EFNB1,HGNC:3226,craniofrontonasal syndrome,MONDO:0010570,XL,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_31ffbd0b-5c6b-4396-a84c-9330d81e4a08-2020-10-26T154650.453Z,2020-10-26T15:46:50.453Z,Craniofacial Malformations
ERF,HGNC:3444,craniosynostosis 4,MONDO:0010929,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1954ba97-532a-4ef3-9d62-c4ebfd252084-2021-06-12T062024.684Z,2021-06-12T06:20:24.684Z,Craniofacial Malformations
FGFR1,HGNC:3688,Pfeiffer syndrome type 1,MONDO:0019659,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_4fef65d0-f73c-45fe-968e-86073674cb7e-2021-05-21T224433.397Z,2021-05-21T22:44:33.397Z,Craniofacial Malformations
FGFR1,HGNC:3688,osteoglophonic dwarfism,MONDO:0008150,AD,SOP8,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d958e743-2ca0-4bb9-a198-364dd58005c3-2021-03-22T203501.315Z,2021-03-22T20:35:01.315Z,Craniofacial Malformations
FGFR1,HGNC:3688,Hartsfield-Bixler-Demyer syndrome,MONDO:0014196,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ec5034c6-70cb-4ba3-bbb9-f65f6cad393d-2021-03-16T235509.401Z,2021-03-16T23:55:09.401Z,Craniofacial Malformations
FGFR2,HGNC:3689,apert syndrome,MONDO:0007041,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2aa63602-d820-4fee-893b-b807e7b62f28-2021-12-14T221137.192Z,2021-12-14T22:11:37.192Z,Craniofacial Malformations
FGFR2,HGNC:3689,Beare-Stevenson cutis gyrata syndrome,MONDO:0007412,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7805e806-44ee-4339-a078-d62c204bff00-2022-03-31T163711.748Z,2022-03-31T16:37:11.748Z,Craniofacial Malformations
FGFR2,HGNC:3689,Crouzon syndrome,MONDO:0007405,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c2cfa70a-750f-4357-98b9-f5c30ca4dc26-2021-12-23T165345.170Z,2021-12-23T16:53:45.170Z,Craniofacial Malformations
FGFR2,HGNC:3689,Pfeiffer syndrome,MONDO:0007043,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_eccfe56b-15d7-4ba9-abf2-163dfd3dab3c-2022-03-21T210958.425Z,2022-03-21T21:09:58.425Z,Craniofacial Malformations
FGFR3,HGNC:3690,Crouzon syndrome-acanthosis nigricans syndrome,MONDO:0012833,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_98727c21-26dd-4e65-b75e-8ec82d95ba97-2021-11-18T170000.000Z,2021-11-18T17:00:00.000Z,Craniofacial Malformations
FGFR3,HGNC:3690,Muenke syndrome,MONDO:0011274,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e94c1870-5413-4f75-8925-8bea54199d47-2022-03-29T172023.530Z,2022-03-29T17:20:23.530Z,Craniofacial Malformations
MEGF8,HGNC:3233,MEGF8-related Carpenter syndrome,MONDO:0013998,AR,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_dd9400f1-2c0b-4ffd-989a-486b81779a53-2021-12-23T193047.075Z,2021-12-23T19:30:47.075Z,Craniofacial Malformations
MSX2,HGNC:7392,parietal foramina,MONDO:0018953,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2bb862dd-e6d2-4dc8-a7f3-3a03d58f9ade-2020-07-08T170000.000Z,2020-07-08T17:00:00.000Z,Craniofacial Malformations
MSX2,HGNC:7392,craniosynostosis 2,MONDO:0011481,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ac8a9313-9ef2-4556-9a25-db7fa2ed99ed-2020-09-28T170000.000Z,2020-09-28T17:00:00.000Z,Craniofacial Malformations
POR,HGNC:9208,Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis,MONDO:0008726,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6275d46a-f005-45f8-b3ec-e9722f8dd39e-2022-03-23T193729.312Z,2022-03-23T19:37:29.312Z,Craniofacial Malformations
RAB23,HGNC:14263,RAB23-related Carpenter syndrome,MONDO:0008710,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_46756b21-4bb5-4384-a42c-cf10c76e98c8-2021-04-22T160000.000Z,2021-04-22T16:00:00.000Z,Craniofacial Malformations
SKI,HGNC:10896,Shprintzen-Goldberg syndrome,MONDO:0008426,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_019ffb7a-be5f-482d-9adf-e28d5aadaede-2020-10-29T160000.000Z,2020-10-29T16:00:00.000Z,Craniofacial Malformations
TCF12,HGNC:11623,TCF12-related craniosynostosis,MONDO:0014128,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_11e46ed0-dbfb-4151-ba1c-cc56214d6ca6-2021-01-28T170000.000Z,2021-01-28T17:00:00.000Z,Craniofacial Malformations
TWIST1,HGNC:12428,Sweeney-Cox syndrome,MONDO:0060592,AD,SOP8,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_14ba10ad-ebb5-491f-b4d6-639890ab7ab9-2021-03-26T213222.762Z,2021-03-26T21:32:22.762Z,Craniofacial Malformations
TWIST1,HGNC:12428,Saethre-Chotzen syndrome,MONDO:0007042,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1730a1bb-49c2-4c11-8c45-e8747d8fb91d-2021-01-28T180000.000Z,2021-01-28T18:00:00.000Z,Craniofacial Malformations
TWIST1,HGNC:12428,TWIST1-related craniosynostosis,MONDO:0007399,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bda425f8-b760-4484-9336-b3e572d402ab-2021-06-10T160000.000Z,2021-06-10T16:00:00.000Z,Craniofacial Malformations
AARS1,HGNC:20,undetermined early-onset epileptic encephalopathy,MONDO:0018614,AR,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ac62fe65-ee56-4146-9fe4-00dc1db2d958-2018-11-20T170000.000Z,2018-11-20T17:00:00.000Z,Epilepsy
ABAT,HGNC:23,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3a5138ad-d4b8-4ea1-aa78-b5d1f07b2b82-2022-04-19T160000.000Z,2022-04-19T16:00:00.000Z,Epilepsy
ALG13,HGNC:30881,developmental and epileptic encephalopathy,MONDO:0100062,XL,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f14dd634-ec5c-48cc-a375-e3cfd0c6e832-2018-04-19T160000.000Z,2018-04-19T16:00:00.000Z,Epilepsy
ARX,HGNC:18060,developmental and epileptic encephalopathy,MONDO:0100062,XL,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3a5357ce-2161-4a7f-a8e1-a1dba4550e57-2019-06-04T160000.000Z,2019-06-04T16:00:00.000Z,Epilepsy
ATP1A2,HGNC:800,familial or sporadic hemiplegic migraine,MONDO:0018925,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fe788a45-b8da-4377-acdb-5dd55fcc3130-2021-03-02T183446.232Z,2021-03-02T18:34:46.232Z,Epilepsy
BRAT1,HGNC:21701,neonatal-onset encephalopathy with rigidity and seizures,MONDO:0013784,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_698a4cb3-df52-432b-9d3e-d3d76111db25-2022-09-13T170000.000Z,2022-09-13T17:00:00.000Z,Epilepsy
BRAT1,HGNC:21701,neurodevelopmental disorder with cerebellar atrophy and with or without seizures,MONDO:0020841,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_93a7b6f1-75e5-4f97-be9d-62fb5770b8cb-2022-09-06T170000.000Z,2022-09-06T17:00:00.000Z,Epilepsy
CACNA1H,HGNC:1395,epilepsy,MONDO:0005027,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c3208279-a38d-4b38-b4f9-3af2610c4936-2018-07-30T040000.000Z,2018-07-30T04:00:00.000Z,Epilepsy
CACNB4,HGNC:1404,epilepsy,MONDO:0005027,AD,SOP9,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d2fad131-8e91-4874-9394-8b86d6d62abb-2022-07-05T160000.000Z,2022-07-05T16:00:00.000Z,Epilepsy
CASR,HGNC:1514,epilepsy,MONDO:0005027,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ddebf083-3434-4401-9b6b-9ec24aceec89-2021-03-03T123827.967Z,2021-03-03T12:38:27.967Z,Epilepsy
CHD2,HGNC:1917,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5af80ea6-31c6-47d2-a5a5-299380f5593c-2018-07-18T160000.000Z,2018-07-18T16:00:00.000Z,Epilepsy
CHRNA2,HGNC:1956,sleep-related hypermotor epilepsy,MONDO:0000030,AD,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0f832b8a-af5a-494e-bfdb-70cc619addf1-2020-12-25T015652.186Z,2020-12-25T01:56:52.186Z,Epilepsy
CHRNA2,HGNC:1956,benign familial infantile epilepsy,MONDO:0017615,AD,SOP9,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7916abab-d963-4e9c-8913-1decc21b680c-2020-01-07T050000.000Z,2020-01-07T05:00:00.000Z,Epilepsy
CHRNA4,HGNC:1958,sleep-related hypermotor epilepsy,MONDO:0000030,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e3aa0108-5514-48ba-a09c-5506b2030d1f-2020-02-18T170000.000Z,2020-02-18T17:00:00.000Z,Epilepsy
CLN5,HGNC:2076,neuronal ceroid lipofuscinosis,MONDO:0016295,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a522b1d6-5ade-4749-94b8-d5426bbe5961-2021-09-08T023930.981Z,2021-09-08T02:39:30.981Z,Epilepsy
CLN6,HGNC:2077,neuronal ceroid lipofuscinosis,MONDO:0016295,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_09654b45-6649-4d11-b43e-aeb6d20fb86d-2020-12-01T170000.000Z,2020-12-01T17:00:00.000Z,Epilepsy
CLN8,HGNC:2079,neuronal ceroid lipofuscinosis,MONDO:0016295,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_68775ed0-576e-4ee7-90f2-d16329ecd7c1-2020-09-07T220116.243Z,2020-09-07T22:01:16.243Z,Epilepsy
CNTNAP2,HGNC:13830,complex neurodevelopmental disorder,MONDO:0100038,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3af732e2-062d-4bb3-a3cd-2045e460dc8f-2021-06-15T160000.000Z,2021-06-15T16:00:00.000Z,Epilepsy
CPA6,HGNC:17245,epilepsy,MONDO:0005027,AD,SOP8,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1cb32379-82a8-425d-ac80-3d740e1cc10b-2021-07-29T132527.108Z,2021-07-29T13:25:27.108Z,Epilepsy
CPA6,HGNC:17245,epilepsy,MONDO:0005027,AR,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7b3ebd58-dccb-4c73-b5e4-1ec55171f2fe-2021-07-29T135909.720Z,2021-07-29T13:59:09.720Z,Epilepsy
CRH,HGNC:2355,epilepsy,MONDO:0005027,AD,SOP8,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e1719f97-0d6c-4ed3-93bc-13cc8e1f1d6e-2021-09-21T160000.000Z,2021-09-21T16:00:00.000Z,Epilepsy
CSTB,HGNC:2482,Unverricht-Lundborg syndrome,MONDO:0009698,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2926506c-5b75-4340-b821-e3ac846b6621-2020-06-16T160000.000Z,2020-06-16T16:00:00.000Z,Epilepsy
CSTB,HGNC:2482,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_accafcd4-ba3c-4049-9285-1de877d256ec-2020-12-01T170000.000Z,2020-12-01T17:00:00.000Z,Epilepsy
CTSD,HGNC:2529,neuronal ceroid lipofuscinosis,MONDO:0016295,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d74b1b2a-52a3-4192-b5b4-e4fd46ffc0ba-2020-11-03T180000.000Z,2020-11-03T18:00:00.000Z,Epilepsy
CTSF,HGNC:2531,adult neuronal ceroid lipofuscinosis,MONDO:0019260,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a9079835-78f4-4759-a43a-9786270dc02e-2022-04-21T142141.505Z,2022-04-21T14:21:41.505Z,Epilepsy
DEPDC5,HGNC:18423,focal epilepsy,MONDO:0005384,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_82a82c75-f9a5-4f51-a15c-6513c13df57c-2018-08-07T040000.000Z,2018-08-07T04:00:00.000Z,Epilepsy
DNAJC5,HGNC:16235,adult neuronal ceroid lipofuscinosis,MONDO:0019260,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_67f55ef1-b312-4aac-bc04-67beb2405b4f-2021-07-30T052005.845Z,2021-07-30T05:20:05.845Z,Epilepsy
DNM1,HGNC:2972,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_31f598a3-7efd-4e43-83f3-587e98924260-2016-12-13T170000.000Z,2016-12-13T17:00:00.000Z,Epilepsy
DOCK7,HGNC:19190,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0b6ed421-950b-4862-bade-dc545555ac29-2021-07-28T192512.688Z,2021-07-28T19:25:12.688Z,Epilepsy
EEF1A2,HGNC:3192,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_17551147-b62c-47a9-a12a-f425c23d90ff-2019-03-19T160000.000Z,2019-03-19T16:00:00.000Z,Epilepsy
EFHC1,HGNC:16406,epilepsy,MONDO:0005027,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a2338bd8-c9ea-464b-8281-84472771a657-2018-07-27T160000.000Z,2018-07-27T16:00:00.000Z,Epilepsy
EPM2A,HGNC:3413,Lafora disease,MONDO:0009697,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f970ced6-0164-41ed-9e1f-1fb9f892bca6-2020-05-23T190000.000Z,2020-05-23T19:00:00.000Z,Epilepsy
GABRA1,HGNC:4075,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_60478d36-384e-4246-ba8a-730755d6f216-2019-05-21T160000.000Z,2019-05-21T16:00:00.000Z,Epilepsy
GABRB3,HGNC:4083,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a9327dac-6f76-4881-8a23-ef2b210f92e7-2019-02-05T170000.000Z,2019-02-05T17:00:00.000Z,Epilepsy
GABRG2,HGNC:4087,epilepsy,MONDO:0005027,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3a3176e9-ac0c-41fe-ae40-0750726c33d8-2020-01-21T170000.000Z,2020-01-21T17:00:00.000Z,Epilepsy
GNAO1,HGNC:4389,movement disorder,MONDO:0005395,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_418a5a18-3d0e-4cef-84b4-74c5accc0df1-2019-02-19T170000.000Z,2019-02-19T17:00:00.000Z,Epilepsy
GNAO1,HGNC:4389,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b56856e2-8e6f-4f01-a6bd-1642fee71e5b-2018-12-18T170000.000Z,2018-12-18T17:00:00.000Z,Epilepsy
GRIN1,HGNC:4584,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b98e5df5-8f39-4fd6-9715-bb8da7dc1806-2018-11-20T050000.000Z,2018-11-20T05:00:00.000Z,Epilepsy
GRIN2A,HGNC:4585,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0c405372-b99b-42fc-836d-65d7c0cbd279-2019-07-16T160000.000Z,2019-07-16T16:00:00.000Z,Epilepsy
GRIN2B,HGNC:4586,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ff8d9346-2ab7-4ef1-9071-9b8ae4178174-2019-03-19T170000.000Z,2019-03-19T17:00:00.000Z,Epilepsy
GRIN2D,HGNC:4588,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a52befb3-e9e0-46f1-9abf-8ead03151230-2022-03-15T190000.000Z,2022-03-15T19:00:00.000Z,Epilepsy
GRN,HGNC:4601,neuronal ceroid lipofuscinosis,MONDO:0016295,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_49eb0915-acff-423d-a70f-d00d4319d404-2023-01-03T170000.000Z,2023-01-03T17:00:00.000Z,Epilepsy
KCNA2,HGNC:6220,undetermined early-onset epileptic encephalopathy,MONDO:0018614,AD,SOP5,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_10049,2017-10-20T00:00:00,Epilepsy
KCNA2,HGNC:6220,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1a825f85-585a-4086-8118-ce912d4c1469-2022-05-18T130146.911Z,2022-05-18T13:01:46.911Z,Epilepsy
KCNB1,HGNC:6231,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_986348ad-e8bb-4391-9478-7834a19415cb-2019-04-16T160000.000Z,2019-04-16T16:00:00.000Z,Epilepsy
KCNC1,HGNC:6233,progressive myoclonus epilepsy,MONDO:0020074,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_35d2beba-40f6-472d-842c-41925f486ba9-2022-11-07T200000.000Z,2022-11-07T20:00:00.000Z,Epilepsy
KCNC1,HGNC:6233,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5146494e-71e7-4e06-b10f-cc126429e3fb-2022-11-07T200000.000Z,2022-11-07T20:00:00.000Z,Epilepsy
