GENE_SYMBOL,GENE_ID_HGNC,DISEASE_LABEL,DISEASE_ID_MONDO,MOI,SOP,CLASSIFICATION,ONLINE_REPORT,CLASSIFICATION_DATE,GCEP
TNNI3,HGNC:11947,dilated cardiomyopathy,MONDO:0005021,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_668087ea-0d2f-42c2-a291-f73400d34023-2020-10-09T160000.000Z,2020-10-09T16:00:00.000Z,Dilated Cardiomyopathy
TNNI3K,HGNC:19661,dilated cardiomyopathy,MONDO:0005021,AD,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f5ce5790-8940-4d7a-a85c-8682be86939d-2020-08-12T160000.000Z,2020-08-12T16:00:00.000Z,Dilated Cardiomyopathy
TNNT2,HGNC:11949,dilated cardiomyopathy,MONDO:0005021,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_20fbdfad-b2d2-45f1-9658-e2e3e02cb413-2020-10-09T160000.000Z,2020-10-09T16:00:00.000Z,Dilated Cardiomyopathy
TPM1,HGNC:12010,dilated cardiomyopathy,MONDO:0005021,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1173d239-23cf-4c9c-9ea5-f95d9356e6c7-2020-11-13T170000.000Z,2020-11-13T17:00:00.000Z,Dilated Cardiomyopathy
TTN,HGNC:12403,dilated cardiomyopathy,MONDO:0005021,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1ec53217-814e-44b3-a7b7-0f18311c20f3-2020-11-06T182152.992Z,2020-11-06T18:21:52.992Z,Dilated Cardiomyopathy
VCL,HGNC:12665,dilated cardiomyopathy,MONDO:0005021,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2d46699a-5f8c-460d-9233-bec4e2ecf560-2020-11-06T182645.766Z,2020-11-06T18:26:45.766Z,Dilated Cardiomyopathy
AARS1,HGNC:20,undetermined early-onset epileptic encephalopathy,MONDO:0018614,AR,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ac62fe65-ee56-4146-9fe4-00dc1db2d958-2018-11-20T170000.000Z,2018-11-20T17:00:00.000Z,Epilepsy
ABAT,HGNC:23,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3a5138ad-d4b8-4ea1-aa78-b5d1f07b2b82-2022-04-19T160000.000Z,2022-04-19T16:00:00.000Z,Epilepsy
ALG13,HGNC:30881,developmental and epileptic encephalopathy,MONDO:0100062,XL,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f14dd634-ec5c-48cc-a375-e3cfd0c6e832-2018-04-19T160000.000Z,2018-04-19T16:00:00.000Z,Epilepsy
ARX,HGNC:18060,developmental and epileptic encephalopathy,MONDO:0100062,XL,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3a5357ce-2161-4a7f-a8e1-a1dba4550e57-2019-06-04T160000.000Z,2019-06-04T16:00:00.000Z,Epilepsy
ATP1A2,HGNC:800,familial or sporadic hemiplegic migraine,MONDO:0018925,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fe788a45-b8da-4377-acdb-5dd55fcc3130-2021-03-02T183446.232Z,2021-03-02T18:34:46.232Z,Epilepsy
BRAT1,HGNC:21701,neonatal-onset encephalopathy with rigidity and seizures,MONDO:0013784,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_698a4cb3-df52-432b-9d3e-d3d76111db25-2022-09-13T170000.000Z,2022-09-13T17:00:00.000Z,Epilepsy
BRAT1,HGNC:21701,neurodevelopmental disorder with cerebellar atrophy and with or without seizures,MONDO:0020841,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_93a7b6f1-75e5-4f97-be9d-62fb5770b8cb-2022-09-06T170000.000Z,2022-09-06T17:00:00.000Z,Epilepsy
CACNA1H,HGNC:1395,epilepsy,MONDO:0005027,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c3208279-a38d-4b38-b4f9-3af2610c4936-2018-07-30T040000.000Z,2018-07-30T04:00:00.000Z,Epilepsy
CACNB4,HGNC:1404,epilepsy,MONDO:0005027,AD,SOP9,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d2fad131-8e91-4874-9394-8b86d6d62abb-2022-07-05T160000.000Z,2022-07-05T16:00:00.000Z,Epilepsy
CASR,HGNC:1514,epilepsy,MONDO:0005027,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ddebf083-3434-4401-9b6b-9ec24aceec89-2021-03-03T123827.967Z,2021-03-03T12:38:27.967Z,Epilepsy
CHD2,HGNC:1917,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5af80ea6-31c6-47d2-a5a5-299380f5593c-2018-07-18T160000.000Z,2018-07-18T16:00:00.000Z,Epilepsy
CHRNA2,HGNC:1956,sleep-related hypermotor epilepsy,MONDO:0000030,AD,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0f832b8a-af5a-494e-bfdb-70cc619addf1-2020-12-25T015652.186Z,2020-12-25T01:56:52.186Z,Epilepsy
CHRNA2,HGNC:1956,benign familial infantile epilepsy,MONDO:0017615,AD,SOP9,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7916abab-d963-4e9c-8913-1decc21b680c-2020-01-07T050000.000Z,2020-01-07T05:00:00.000Z,Epilepsy
CHRNA4,HGNC:1958,sleep-related hypermotor epilepsy,MONDO:0000030,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e3aa0108-5514-48ba-a09c-5506b2030d1f-2020-02-18T170000.000Z,2020-02-18T17:00:00.000Z,Epilepsy
CLN5,HGNC:2076,neuronal ceroid lipofuscinosis,MONDO:0016295,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a522b1d6-5ade-4749-94b8-d5426bbe5961-2021-09-08T023930.981Z,2021-09-08T02:39:30.981Z,Epilepsy
CLN6,HGNC:2077,neuronal ceroid lipofuscinosis,MONDO:0016295,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_09654b45-6649-4d11-b43e-aeb6d20fb86d-2020-12-01T170000.000Z,2020-12-01T17:00:00.000Z,Epilepsy
CLN8,HGNC:2079,neuronal ceroid lipofuscinosis,MONDO:0016295,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_68775ed0-576e-4ee7-90f2-d16329ecd7c1-2020-09-07T220116.243Z,2020-09-07T22:01:16.243Z,Epilepsy
CNTNAP2,HGNC:13830,complex neurodevelopmental disorder,MONDO:0100038,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3af732e2-062d-4bb3-a3cd-2045e460dc8f-2021-06-15T160000.000Z,2021-06-15T16:00:00.000Z,Epilepsy
CPA6,HGNC:17245,epilepsy,MONDO:0005027,AD,SOP8,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1cb32379-82a8-425d-ac80-3d740e1cc10b-2021-07-29T132527.108Z,2021-07-29T13:25:27.108Z,Epilepsy
CPA6,HGNC:17245,epilepsy,MONDO:0005027,AR,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7b3ebd58-dccb-4c73-b5e4-1ec55171f2fe-2021-07-29T135909.720Z,2021-07-29T13:59:09.720Z,Epilepsy
CRH,HGNC:2355,epilepsy,MONDO:0005027,AD,SOP8,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e1719f97-0d6c-4ed3-93bc-13cc8e1f1d6e-2021-09-21T160000.000Z,2021-09-21T16:00:00.000Z,Epilepsy
CSTB,HGNC:2482,Unverricht-Lundborg syndrome,MONDO:0009698,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2926506c-5b75-4340-b821-e3ac846b6621-2020-06-16T160000.000Z,2020-06-16T16:00:00.000Z,Epilepsy
CSTB,HGNC:2482,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_accafcd4-ba3c-4049-9285-1de877d256ec-2020-12-01T170000.000Z,2020-12-01T17:00:00.000Z,Epilepsy
CTSD,HGNC:2529,neuronal ceroid lipofuscinosis,MONDO:0016295,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d74b1b2a-52a3-4192-b5b4-e4fd46ffc0ba-2020-11-03T180000.000Z,2020-11-03T18:00:00.000Z,Epilepsy
CTSF,HGNC:2531,adult neuronal ceroid lipofuscinosis,MONDO:0019260,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a9079835-78f4-4759-a43a-9786270dc02e-2022-04-21T142141.505Z,2022-04-21T14:21:41.505Z,Epilepsy
DEPDC5,HGNC:18423,focal epilepsy,MONDO:0005384,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_82a82c75-f9a5-4f51-a15c-6513c13df57c-2018-08-07T040000.000Z,2018-08-07T04:00:00.000Z,Epilepsy
DNAJC5,HGNC:16235,adult neuronal ceroid lipofuscinosis,MONDO:0019260,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_67f55ef1-b312-4aac-bc04-67beb2405b4f-2021-07-30T052005.845Z,2021-07-30T05:20:05.845Z,Epilepsy
DNM1,HGNC:2972,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_31f598a3-7efd-4e43-83f3-587e98924260-2016-12-13T170000.000Z,2016-12-13T17:00:00.000Z,Epilepsy
DOCK7,HGNC:19190,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0b6ed421-950b-4862-bade-dc545555ac29-2021-07-28T192512.688Z,2021-07-28T19:25:12.688Z,Epilepsy
EEF1A2,HGNC:3192,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_17551147-b62c-47a9-a12a-f425c23d90ff-2019-03-19T160000.000Z,2019-03-19T16:00:00.000Z,Epilepsy
EFHC1,HGNC:16406,epilepsy,MONDO:0005027,AD,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a2338bd8-c9ea-464b-8281-84472771a657-2018-07-27T160000.000Z,2018-07-27T16:00:00.000Z,Epilepsy
EPM2A,HGNC:3413,Lafora disease,MONDO:0009697,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f970ced6-0164-41ed-9e1f-1fb9f892bca6-2020-05-23T190000.000Z,2020-05-23T19:00:00.000Z,Epilepsy
GABRA1,HGNC:4075,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_60478d36-384e-4246-ba8a-730755d6f216-2019-05-21T160000.000Z,2019-05-21T16:00:00.000Z,Epilepsy
GABRB3,HGNC:4083,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a9327dac-6f76-4881-8a23-ef2b210f92e7-2019-02-05T170000.000Z,2019-02-05T17:00:00.000Z,Epilepsy
GABRG2,HGNC:4087,epilepsy,MONDO:0005027,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3a3176e9-ac0c-41fe-ae40-0750726c33d8-2020-01-21T170000.000Z,2020-01-21T17:00:00.000Z,Epilepsy
GNAO1,HGNC:4389,movement disorder,MONDO:0005395,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_418a5a18-3d0e-4cef-84b4-74c5accc0df1-2019-02-19T170000.000Z,2019-02-19T17:00:00.000Z,Epilepsy
GNAO1,HGNC:4389,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b56856e2-8e6f-4f01-a6bd-1642fee71e5b-2018-12-18T170000.000Z,2018-12-18T17:00:00.000Z,Epilepsy
GRIN1,HGNC:4584,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b98e5df5-8f39-4fd6-9715-bb8da7dc1806-2018-11-20T050000.000Z,2018-11-20T05:00:00.000Z,Epilepsy
GRIN2A,HGNC:4585,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0c405372-b99b-42fc-836d-65d7c0cbd279-2019-07-16T160000.000Z,2019-07-16T16:00:00.000Z,Epilepsy
GRIN2B,HGNC:4586,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ff8d9346-2ab7-4ef1-9071-9b8ae4178174-2019-03-19T170000.000Z,2019-03-19T17:00:00.000Z,Epilepsy
GRIN2D,HGNC:4588,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a52befb3-e9e0-46f1-9abf-8ead03151230-2022-03-15T190000.000Z,2022-03-15T19:00:00.000Z,Epilepsy
GRN,HGNC:4601,neuronal ceroid lipofuscinosis,MONDO:0016295,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_49eb0915-acff-423d-a70f-d00d4319d404-2023-01-03T170000.000Z,2023-01-03T17:00:00.000Z,Epilepsy
KCNA2,HGNC:6220,undetermined early-onset epileptic encephalopathy,MONDO:0018614,AD,SOP5,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_10049,2017-10-20T00:00:00,Epilepsy
KCNA2,HGNC:6220,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1a825f85-585a-4086-8118-ce912d4c1469-2022-05-18T130146.911Z,2022-05-18T13:01:46.911Z,Epilepsy
KCNB1,HGNC:6231,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_986348ad-e8bb-4391-9478-7834a19415cb-2019-04-16T160000.000Z,2019-04-16T16:00:00.000Z,Epilepsy
KCNC1,HGNC:6233,progressive myoclonus epilepsy,MONDO:0020074,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_35d2beba-40f6-472d-842c-41925f486ba9-2022-11-07T200000.000Z,2022-11-07T20:00:00.000Z,Epilepsy
KCNC1,HGNC:6233,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5146494e-71e7-4e06-b10f-cc126429e3fb-2022-11-07T200000.000Z,2022-11-07T20:00:00.000Z,Epilepsy
KCNMA1,HGNC:6284,generalized epilepsy-paroxysmal dyskinesia syndrome,MONDO:0012276,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_4bd10bb7-67d0-4c30-a944-9a46fd2f361a-2022-03-08T104405.484Z,2022-03-08T10:44:05.484Z,Epilepsy
KCNMA1,HGNC:6284,generalized epilepsy-paroxysmal dyskinesia syndrome,MONDO:0012276,AR,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9aabc05e-8452-4b72-bd07-ae1a1fc40dfc-2022-03-08T114915.435Z,2022-03-08T11:49:15.435Z,Epilepsy
KCTD7,HGNC:21957,progressive myoclonus epilepsy,MONDO:0020074,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e6068b08-413e-4105-b8dc-97426d64c6c4-2022-09-07T160000.000Z,2022-09-07T16:00:00.000Z,Epilepsy
LGI1,HGNC:6572,Autosomal dominant epilepsy with auditory features,MONDO:0010898,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_662936d4-11a7-43f3-9daf-4ba1a7c92ffe-2020-07-07T183907.849Z,2020-07-07T18:39:07.849Z,Epilepsy
MAGI2,HGNC:18957,epilepsy,MONDO:0005027,XL,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7d622b88-9c77-47f8-93b1-808517da0cff-2018-06-19T160000.000Z,2018-06-19T16:00:00.000Z,Epilepsy
MFSD8,HGNC:28486,neuronal ceroid lipofuscinosis,MONDO:0016295,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0f42cb66-5f28-4674-8f5a-76e15880bbfc-2020-12-15T170000.000Z,2020-12-15T17:00:00.000Z,Epilepsy
NECAP1,HGNC:24539,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8fa4d835-8c26-4b30-9f26-7b6fb64d6a0b-2023-01-17T200000.000Z,2023-01-17T20:00:00.000Z,Epilepsy
NHLRC1,HGNC:21576,Lafora disease,MONDO:0009697,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c4dbe715-b897-482d-afeb-b05c0653a79a-2020-03-03T170000.000Z,2020-03-03T17:00:00.000Z,Epilepsy
NPRL3,HGNC:14124,focal epilepsy,MONDO:0005384,AD,SOP9,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_19a476ce-334f-4727-bbf2-ea4cfa37a223-2022-10-18T160000.000Z,2022-10-18T16:00:00.000Z,Epilepsy
PCDH19,HGNC:14270,X-linked complex neurodevelopmental disorder,MONDO:0100148,XL,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c00aad39-c6c4-4a46-af84-613592b166a3-2018-09-04T160000.000Z,2018-09-04T16:00:00.000Z,Epilepsy
PIGA,HGNC:8957,developmental and epileptic encephalopathy,MONDO:0100062,XL,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1fbb591b-eb34-4b73-a741-2f101886c896-2019-04-26T160000.000Z,2019-04-26T16:00:00.000Z,Epilepsy
PIGO,HGNC:23215,complex neurodevelopmental disorder,MONDO:0100038,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_830b11ca-6ec1-4aa9-bb44-379f03f738c7-2021-10-21T004641.341Z,2021-10-21T00:46:41.341Z,Epilepsy
PLCB1,HGNC:15917,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c7887c3b-332b-4586-93cf-4098796ab66f-2020-09-18T040000.000Z,2020-09-18T04:00:00.000Z,Epilepsy
PNKP,HGNC:9154,"microcephaly, seizures, and developmental delay",MONDO:0013254,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_901a984a-c678-4f35-81c2-9436785d3698-2020-04-17T165304.309Z,2020-04-17T16:53:04.309Z,Epilepsy
PNPO,HGNC:30260,pyridoxal phosphate-responsive seizures,MONDO:0012407,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f3ff7b38-dd26-458a-afbb-4870785c42ec-2020-12-15T170000.000Z,2020-12-15T17:00:00.000Z,Epilepsy
PRICKLE1,HGNC:17019,epilepsy,MONDO:0005027,AD,SOP7,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_71a3c632-fd63-4103-a069-5e9e413043e7-2020-09-01T160000.000Z,2020-09-01T16:00:00.000Z,Epilepsy
PRICKLE1,HGNC:17019,progressive myoclonus epilepsy,MONDO:0020074,AR,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d4e1195f-21ea-4721-b94b-99604e7c6554-2020-08-18T170000.000Z,2020-08-18T17:00:00.000Z,Epilepsy
PRICKLE2,HGNC:20340,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d1713884-4e19-4810-b73f-871645cfc0c3-2022-12-29T170000.000Z,2022-12-29T17:00:00.000Z,Epilepsy
PRRT2,HGNC:30500,infantile convulsions and choreoathetosis,MONDO:0011178,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_62af25b8-b9a4-421f-b897-4fc222569618-2020-01-21T213814.191Z,2020-01-21T21:38:14.191Z,Epilepsy
PURA,HGNC:9701,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6819633c-e488-4856-8dec-3981cd14db9b-2018-12-18T170000.000Z,2018-12-18T17:00:00.000Z,Epilepsy
ROGDI,HGNC:29478,amelocerebrohypohidrotic syndrome,MONDO:0009185,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_dc4132b5-fd80-440b-b7ae-65f4d28f33f1-2022-06-21T160000.000Z,2022-06-21T16:00:00.000Z,Epilepsy
RORB,HGNC:10259,epilepsy,MONDO:0005027,AD,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_88c55f22-3f6f-467a-b38b-267f93d6cc9a-2022-09-21T190000.000Z,2022-09-21T19:00:00.000Z,Epilepsy
RYR3,HGNC:10485,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a277276e-7efa-45c9-ad01-74e9aa2dea63-2018-06-19T160000.000Z,2018-06-19T16:00:00.000Z,Epilepsy
SCARB2,HGNC:1665,progressive myoclonus epilepsy,MONDO:0020074,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_dc556613-cf24-44ee-8354-98ce91f78d7d-2020-08-23T190000.000Z,2020-08-23T19:00:00.000Z,Epilepsy
SCN1A,HGNC:10585,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP7,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_529f9cae-ac00-47d1-94d5-52c98bf6e2a2-2019-10-25T040000.000Z,2019-10-25T04:00:00.000Z,Epilepsy
SCN1A,HGNC:10585,generalized epilepsy with febrile seizures plus,MONDO:0018214,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5ac39f7a-0743-47b1-8efd-21e0ca836840-2019-09-06T194357.485Z,2019-09-06T19:43:57.485Z,Epilepsy
SCN1A,HGNC:10585,Dravet syndrome,MONDO:0100135,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_60334a15-c73e-42ce-b7d2-4796c2affde4-2019-08-20T160000.000Z,2019-08-20T16:00:00.000Z,Epilepsy
SCN1A,HGNC:10585,familial hemiplegic migraine,MONDO:0000700,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c8c1e158-983d-4547-a739-7781961e5bb8-2021-09-14T163408.306Z,2021-09-14T16:34:08.306Z,Epilepsy
SCN1B,HGNC:10586,generalized epilepsy with febrile seizures plus,MONDO:0018214,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_91fb4b50-478b-4e3a-ac8a-a5cb7634a492-2022-12-13T170000.000Z,2022-12-13T17:00:00.000Z,Epilepsy
SCN1B,HGNC:10586,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d4c35c20-6e59-46cf-9347-852b80af8dcc-2022-01-04T211051.949Z,2022-01-04T21:10:51.949Z,Epilepsy
SCN2A,HGNC:10588,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2a1b7361-5c9e-4803-844d-ad6606a0acdb-2019-05-07T160000.000Z,2019-05-07T16:00:00.000Z,Epilepsy
SCN3A,HGNC:10590,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b9750183-c66c-4dd8-855e-9509fc9c25c6-2022-05-09T233102.697Z,2022-05-09T23:31:02.697Z,Epilepsy
SCN8A,HGNC:10596,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f52993aa-ddee-483d-b15e-dbf21608d5a9-2018-07-18T125000.560Z,2018-07-18T12:50:00.560Z,Epilepsy
SCN9A,HGNC:10597,epilepsy,MONDO:0005027,AD,SOP8,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_72a91ef6-e052-44a4-b14e-6a5ba93393ff-2021-03-09T163649.218Z,2021-03-09T16:36:49.218Z,Epilepsy
SERPINI1,HGNC:8943,progressive myoclonus epilepsy,MONDO:0020074,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1b31db78-6595-440d-a3f1-b3b5ca361611-2022-06-05T190000.000Z,2022-06-05T19:00:00.000Z,Epilepsy
SIK1,HGNC:11142,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cd76888e-9502-48f3-af06-56f1ae5ed975-2018-10-02T160000.000Z,2018-10-02T16:00:00.000Z,Epilepsy
SLC25A22,HGNC:19954,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e9a7ba06-6ddf-4a94-a0df-0b6c164f72b9-2020-05-19T160000.000Z,2020-05-19T16:00:00.000Z,Epilepsy
SLC35A2,HGNC:11022,X-linked complex neurodevelopmental disorder,MONDO:0100148,XL,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e8173aea-692d-4f50-aca4-228e3df16e80-2021-04-23T160000.000Z,2021-04-23T16:00:00.000Z,Epilepsy
SPTAN1,HGNC:11273,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6737ac52-8177-4be1-95fe-92ddecbf5636-2019-01-17T170000.000Z,2019-01-17T17:00:00.000Z,Epilepsy
SRPX2,HGNC:30668,epilepsy,MONDO:0005027,XL,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e9555886-a248-4bd4-b3dc-50ff503d6e7a-2018-07-19T160000.000Z,2018-07-19T16:00:00.000Z,Epilepsy
ST3GAL5,HGNC:10872,GM3 synthase deficiency,MONDO:0018274,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e5ea65e3-6a02-4435-9ef5-100564d3497c-2022-04-05T160000.000Z,2022-04-05T16:00:00.000Z,Epilepsy
